Service Approval Number,Service Name,Provider ID,Provider Name,Provider Management Type,Managing Jurisdiction,Service Type,Approval Date,Address Line 1,Address Line 2,Suburb/Town,Postcode,Address State,Service email,Service phone number,Provider Address,Provider Suburb,Overall Rating
SE-00002727,St Margaret's School Pre-prep,PR-00001975,St Margaret's School,Independent schools,VIC,Centre-Based Care,2012/1/1,27-47 Gloucester Avenue,,BERWICK,3806,VIC,info@stmargarets.vic.edu.au,03 9703 8102,PO Box 138,BERWICK,Exceeding NQS
SE-00002728,Haileybury Berwick College,PR-00001557,Haileybury,Independent schools,VIC,Centre-Based Care,2012/1/1,138 High Street,,BERWICK,3806,VIC,emily.baxter@haileybury.vic.edu.au,399046198,855-891 Springvale Road,KEYSBOROUGH,Exceeding NQS
SE-00002729,Beaconsfield Kindergarten,PR-00001353,Beaconsfield Kindergarten Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,11-17 Wood Street,,BEACONSFIELD,3807,VIC,admin@beaconsfieldkinder.com.au,397071144,PO Box 329,BEACONSFIELD,Exceeding NQS
SE-00002730,Gembrook Preschool,PR-00001535,Gembrook Infant Welfare & Preschool Association Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,19 Main Street,,GEMBROOK,3783,VIC,gembrook.kin@kindergarten.vic.gov.au,359681320,PO Box 96,GEMBROOK,Meeting NQS
SE-00002731,Nar Nar Goon Kindergarten,PR-00002149,Child & Family Care Network,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,13 Main Street,,NAR NAR GOON,3812,VIC,nar.nar.goon.kin@kindergarten.vic.gov.au,359425287,U A2  254 Canterbury Rd,BAYSWATER NORTH,Exceeding NQS
SE-00002732,Pakenham Kindergarten,PR-00002149,Child & Family Care Network,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,27 Main Street,,PAKENHAM,3810,VIC,pakenham.kin@kindergarten.vic.gov.au,359411319,U A2  254 Canterbury Rd,BAYSWATER NORTH,Exceeding NQS
SE-00002733,Bunyip Kindergarten,PR-00002149,Child & Family Care Network,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,29 Princess Street,,BUNYIP,3815,VIC,bunyip.kin@kindergarten.vic.gov.au,356295452,U A2  254 Canterbury Rd,BAYSWATER NORTH,Exceeding NQS
SE-00002734,Garfield Kindergarten,PR-00002149,Child & Family Care Network,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,29-31 Garfield Road,,GARFIELD,3814,VIC,garfield.kin@kindergarten.vic.gov.au,356292208,U A2  254 Canterbury Rd,BAYSWATER NORTH,Meeting NQS
SE-00002735,Upper Beaconsfield Kindergarten,PR-00002149,Child & Family Care Network,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,36 Stoney Creek Road,,BEACONSFIELD UPPER,3808,VIC,upper.beaconsfield.kin@kindergarten.vic.gov.au,359443822,U A2  254 Canterbury Rd,BAYSWATER NORTH,Exceeding NQS
SE-00002736,Cockatoo Kinder,PR-00001434,Cockatoo Kindergarten Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,23 Bailey Road,,COCKATOO,3781,VIC,bailey.rd.kin@kindergarten.vic.gov.au,359689105,PO Box 657,COCKATOO,Meeting NQS
SE-00002738,Upper Beaconsfield Community Early Learning Centre,PR-00001886,Upper Beaconsfield Community Centre Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Salisbury Road,,BEACONSFIELD UPPER,3808,VIC,elc@ubcc.org.au,03 5944 3484,PO Box 2,BEACONSFIELD UPPER,Meeting NQS
SE-00002740,Cockatoo Community Childcare Centre,PR-00001433,Cockatoo Community Child Care Association Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,75-77 Pakenham Road,,COCKATOO,3781,VIC,cockatoo.community.cc@kindergarten.vic.gov.au,359688932,PO Box 615,COCKATOO,Meeting NQS
SE-00002741,Little Saints Early Learning Centre,PR-00002454,Davmat Investments Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,37 Princes Highway,,PAKENHAM,3810,VIC,kate.nye@littlesaintselc.com.au,359402533,15A Meeking Drive,PAKENHAM,Meeting NQS
SE-00002742,Officer Child Care Centre,PR-40007227,MAYFIELD CHILDCARE LIMITED,Private for profit,VIC,Centre-Based Care,2012/1/1,454 Princes Highway,,OFFICER,3809,VIC,officercc@mayfieldchildcare.com.au,359431900,"Suite 2, Ground Floor",MALVERN EAST,Meeting NQS
SE-00002743,Lang Lang Preschool,PR-00002149,Child & Family Care Network,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,3 Whitstable Street,,LANG LANG,3984,VIC,lang.lang.kin@kindergarten.vic.gov.au,359975353,U A2  254 Canterbury Rd,BAYSWATER NORTH,Meeting NQS
SE-00002745,St Peter's Anglican Kindergarten,PR-00002196,St Peter's Anglican Kindergarten Box Hill Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,33 Bank Street,,BOX HILL,3128,VIC,st.peters.anglican.kin@kindergarten.vic.gov.au,398908457,33 Bank Street,BOX HILL,Meeting NQS
SE-00002746,Woodhouse Grove Kindergarten,PR-00001376,Woodhouse Grove Kindergarten Assoc Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,112 Woodhouse Grove,,BOX HILL NORTH,3129,VIC,woodhouse.grove.kin@kindergarten.vic.gov.au,03 9898 1994,112 Woodhouse Grove,BOX HILL NORTH,Exceeding NQS
SE-00002747,Friend Street Kindergarten,PR-00002042,Friend Street Kindergarten Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,5 Friend Street,,MONT ALBERT NORTH,3129,VIC,friend.st.kin@kindergarten.vic.gov.au,398576583,5 Friend St,MONT ALBERT NORTH,Exceeding NQS
SE-00002748,Parkside Preschool,PR-00002149,Child & Family Care Network,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,524 Elgar Road,,BOX HILL NORTH,3129,VIC,parkside.kin@kindergarten.vic.gov.au,398908979,U A2  254 Canterbury Rd,BAYSWATER NORTH,Exceeding NQS
SE-00002749,Box Hill South Preschool,PR-00001377,Box Hill South Preschool Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Rotary Court,,BOX HILL SOUTH,3128,VIC,box.hill.south.kin@kindergarten.vic.gov.au,03 9808 1329,Rotary Court,BOX HILL SOUTH,Meeting NQS
SE-00002751,Box Hill North Primary Kindergarten,PR-00002111,Box Hill North Primary School Council,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,Elizabeth Street,,BOX HILL NORTH,3129,VIC,box.hill.north.ps@edumail.vic.gov.au,03 9897 1265,Elizabeth Street,BOX HILL NORTH,Meeting NQS
SE-00002752,Wattle Hill Kindergarten,PR-00001905,Wattle Hill Kindergarten Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,19 Livingstone Close,,BURWOOD,3125,VIC,wattle.hill.kin@kindergarten.vic.gov.au,398088848,Wattle Hill Kindergarten,BURWOOD,Exceeding NQS
SE-00002753,St Scholastica's Kindergarten,PR-00002279,St Scholastica's Kindergarten Inc.,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,13 Pheasant Street,,BURWOOD,3125,VIC,st.scholasticas.kin@kindergarten.vic.gov.au,398089724,348 Burwood Highway,BURWOOD,Meeting NQS
SE-00002754,St Augustine’s Anglican Kindergarten,PR-00002129,St Augustine's Anglican Kindergarten Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,24 Rostrevor Parade,,MONT ALBERT NORTH,3129,VIC,st.augustines.anglican.kin@kindergarten.vic.gov.au,03 9898 4911,24 Rostrevor Parade,MONT ALBERT NORTH,Exceeding NQS
SE-00002755,Florence Road Preschool,PR-00001523,Florence Road Preschool Centre Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,2 Florence Road,,SURREY HILLS,3127,VIC,florence.rd.kin@kindergarten.vic.gov.au,03 9898 3471,2 Florence Road,SURREY HILLS,Meeting NQS
SE-00002756,Deakin & Community Childcare Co-operative,PR-00001885,Deakin & Community Childcare Co-operative Ltd,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,221 Burwood Highway,,BURWOOD,3125,VIC,daccc@optusnet.com.au,398880202,Deakin University Burwood,BURWOOD,Exceeding NQS
SE-00002757,Surrey Hills Baptist Children's Centre,PR-00001343,The Baptist Union of Victoria,Private not for profit other organisations,VIC,Centre-Based Care,2012/1/1,277-281 Elgar Road,,SURREY HILLS,3127,VIC,info@shbcc.org.au,03 9898 8589,277-281 Elgar Road,SURREY HILLS,Exceeding NQS
SE-00002758,Guardian Childcare & Education Box Hill,PR-00000823,Guardian Community Early Learning Centres Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,24 Sweetland Road,,BOX HILL,3128,VIC,BoxHill@guardian.edu.au,398904257,PO Box 20,Bondi Junction,Exceeding NQS
SE-00002760,Surrey Hills Child Care Centre,PR-00001755,Anne Waller,Private for profit,VIC,Centre-Based Care,2012/1/1,1A Beatrice Avenue,,SURREY HILLS,3127,VIC,surreyhills.cc@bigpond.com,03 9898 1368,1a Beatrice Avenue,SURREY HILLS,Working Towards NQS
SE-00002761,Wattle Park Children's Services Centre,PR-00001967,Whitehorse City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,25 Livingstone Close,,BURWOOD,3125,VIC,wattle.cc@whitehorse.vic.gov.au,398080361,Locked Bag 2 Nunawading Delivery Centre,NUNAWADING,Meeting NQS
SE-00002763,Papilio Early Learning Box Hill North,PR-40001112,Affinity Education Group Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,152 Dorking Road,,BOX HILL NORTH,3129,VIC,compliance@affinityeducation.com.au,398981566,GPO Box 440,BRISBANE,Meeting NQS
SE-00002764,Presbyterian Ladies College Early Learning,PR-00001752,Presbyterian Ladies College,Independent schools,VIC,Centre-Based Care,2012/1/1,141 Burwood Highway,,BURWOOD,3125,VIC,earlylearning@plc.vic.edu.au,398080077,Presbyterian Ladies College,BURWOOD,Exceeding NQS
SE-00002765,Watts Street Children's Centre,PR-00001947,Early Childhood Management Services Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,10-12 Watts Street,,BOX HILL,3128,VIC,watts@ecms.org.au,398997411,PO Box 182,NORTHCOTE,Exceeding NQS
SE-00002767,Brighton Beach Early Learning Centre,PR-00003066,Tatoah Pty Ltd ATF Tatoah Property Trust,Private for profit,VIC,Centre-Based Care,2012/1/1,21 New Street,,BRIGHTON,3186,VIC,mail@brightonbeachelc.com.au,395218050,,,Meeting NQS
SE-00002768,Wilson Street Kindergarten,PR-00001958,Wilson Street Kindergarten Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,11 Wilson Street,,BRIGHTON,3186,VIC,wsk@wilsonstreetkinder.com.au,395928095,11 Wilson  Street,BRIGHTON,Exceeding NQS
SE-00002771,Hurlingham Park Preschool,PR-00001580,Hurlingham Preschool Association Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,1 Palmer Avenue,,BRIGHTON EAST,3187,VIC,hurlingham.park.kin@kindergarten.vic.gov.au,395538491,1 Palmer Avenue,BRIGHTON EAST,Meeting NQS
SE-00002772,St Marys Preschool,PR-00001982,St Mary's Preschool Centre Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Cnr Hughes and Dendy Streets,,BRIGHTON EAST,3187,VIC,stmaryskinder@gmail.com,395927622,PO Box 1081,HAMPTON,Exceeding NQS
SE-00002773,Brighton Baptist Kindergarten,PR-00002024,Brighton Baptist Kindergarten Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,40 Outer Crescent,,BRIGHTON,3186,VIC,brighton.baptist.kin@kindergarten.vic.gov.au,03 9592 0104,40 Outer Crescent,BRIGHTON,Exceeding NQS
SE-00002774,St Peters Kindergarten,PR-00002018,St Peter's Kindergarten Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,77A Were Street,,BRIGHTON,3186,VIC,st.peters.kin@kindergarten.vic.gov.au,03 9592 5122,77A Were Street,BRIGHTON,Exceeding NQS
SE-00002775,Melbourne Montessori School Brighton Campus,PR-00002105,Melbourne Montessori School Limited,Independent schools,VIC,Centre-Based Care,2012/1/1,741 Hawthorn Road,,BRIGHTON EAST,3187,VIC,bmanager@mms.vic.edu.au,03 9528 4478,3-6 Roselea Street,CAULFIELD SOUTH,Exceeding NQS
SE-00002776,Bambini Juniors Early Learning Centre,PR-40011833,Bambini Wilson Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,73-75 Wilson Street,,BRIGHTON,3186,VIC,megan@bambinielc.com.au,(03) 9592 1773,Level 1,SOUTH MELBOURNE,Exceeding NQS
SE-00002777,Hunt Community Child Care Centre,PR-00001579,Hunt Community Child Care Centre Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,103 Cochrane Street,,BRIGHTON,3186,VIC,director@huntchildcare.org.au,95963697,103 Cochrane Street,BRIGHTON,Meeting NQS
SE-00002778,Brighton Early Learning Centre,PR-00003066,Tatoah Pty Ltd ATF Tatoah Property Trust,Private for profit,VIC,Centre-Based Care,2012/1/1,247 New Street,,BRIGHTON,3186,VIC,mail@brightonelc.com.au,395921373,,,Meeting NQS
SE-00002779,Firbank Grammar School,PR-00001519,Firbank Grammar School,Independent schools,VIC,Centre-Based Care,2012/1/1,24 Middle Crescent,,BRIGHTON,3186,VIC,kwheeler@firbank.vic.edu.au,395915141,51 Outer Crescent,BRIGHTON,Exceeding NQS
SE-00002780,Mt Piper Kindergarten,PR-00001674,Mitchell Shire Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,150 High Street,,BROADFORD,3658,VIC,mtpiper.kindergarten@mitchellshire.vic.gov.au,357841532,113 High Street,BROADFORD,Meeting NQS
SE-00002781,Campbellfield Preschool,PR-00001578,Hume City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,28 Waratah Street,,CAMPBELLFIELD,3061,VIC,nancy-annh@hume.vic.gov.au,393596304,PO Box 119,DALLAS,Meeting NQS
SE-00002783,Moomba Park Kindergarten,PR-40011657,Moreland Early Years Management Incorporated,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,65 Alec Crescent,,FAWKNER,3060,VIC,moomba.park.kin@kindergarten.vic.gov.au,393596204,2a Marigold Cres,GOWANBRAE,Meeting NQS
SE-00002784,Glenroy Memorial Kindergarten,PR-00001541,Glenroy Memorial Preschool Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,10 Murrell Street,,GLENROY,3046,VIC,glenroy.memorial.kin@kindergarten.vic.gov.au,393069767,10 Murrell Street,GLENROY,Working Towards NQS
SE-00002786,Oak Park Kindergarten,PR-40011657,Moreland Early Years Management Incorporated,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,1A Short Avenue,,OAK PARK,3046,VIC,oak.park.kin@kindergarten.vic.gov.au,393066200,2a Marigold Cres,GOWANBRAE,Exceeding NQS
SE-00002787,Taylor Drive Preschool,PR-00001578,Hume City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,91 Taylor Drive,,TULLAMARINE,3043,VIC,nancy-annh@hume.vic.gov.au,393382009,PO Box 119,DALLAS,Meeting NQS
SE-00002788,Westmeadows Preschool,PR-00001578,Hume City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,24-26 Ardlie Street,,WESTMEADOWS,3049,VIC,nancy-annh@hume.vic.gov.au,393331696,PO Box 119,DALLAS,Meeting NQS
SE-00002793,Joybelle Child Care Centre,PR-00001668,Merhi Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,1346 Sydney Road,,FAWKNER,3060,VIC,joybelleccc@hotmail.com,03 9359 1504,1346 Sydney Road,FAWKNER,Meeting NQS
SE-00002794,Tarcoola Preschool,PR-00001578,Hume City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,12-16 Tarcoola Avenue,,COOLAROO WEST,3048,VIC,kathyp@hume.vic.gov.au,393053577,PO Box 119,DALLAS,Meeting NQS
SE-00002799,Belle Vue Park Kindergarten,PR-00003079,Northern Schools Early Years Cluster Inc.,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Belle Vue Park Primary School,Morell Street,GLENROY,3046,VIC,belle.vue.park.kin@kindergarten.vic.gov.au,393064868,208a Hilton Street,GLENROY,Meeting NQS
SE-00002801,Pearl Street Child Care Centre,PR-40007227,MAYFIELD CHILDCARE LIMITED,Private for profit,VIC,Centre-Based Care,2012/1/1,2 Pearl Street,,GLENROY,3046,VIC,info@pearlstreetchildcare.com.au,03 9306 8366,"Suite 2, Ground Floor",MALVERN EAST,Meeting NQS
SE-00002802,East Brunswick Kindergarten,PR-00001489,East Brunswick Kindergarten Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,2 Noel Street,,EAST BRUNSWICK,3057,VIC,east.brunswick.kin@kindergarten.vic.gov.au,394893037,2 Noel Street,BRUNSWICK EAST,Exceeding NQS
SE-00002803,Denzil Don Free Kindergarten,PR-00001470,Denzil Don Free Kindergarten Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,256 Union Street,,BRUNSWICK WEST,3055,VIC,president@denzildonkinder.org.au,393808420,256 Union Street,BRUNSWICK WEST,Exceeding NQS
SE-00002804,MCM Early Years Hub Hartnett House,PR-00001663,Melbourne City Mission Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,123 Albion Street,,BRUNSWICK,3056,VIC,HCC@mcm.org.au,399770020,164 Kings Way,SOUTH MELBOURNE,Meeting NQS
SE-00002805,Dewdrops Early Learning - Moreland,PR-40000960,Friendly Fish Enterprises Pty Ltd ATF The Andrew Moses Family Trust,Private for profit,VIC,Centre-Based Care,2012/1/1,96 Moreland Road,,BRUNSWICK,3056,VIC,moreland@dewdropsearlylearning.com.au,393831990,PO Box 429,COBURG,Meeting NQS
SE-00002806,Dawson Street Child Care Centre,PR-00001458,Dawson Street Child Care Co-op Ltd,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,31 Dawson Street,,BRUNSWICK,3056,VIC,dsccc31@gmail.com,393808668,31 Dawson St,BRUNSWICK,Exceeding NQS
SE-00002807,Dunstan Reserve Child Care Centre,PR-40000289,MORELAND COMMUNITY CHILD CARE CENTRES INC.,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,49 Everett Street,,BRUNSWICK WEST,3055,VIC,gillianb@mcccc.com.au,03 9386 0432,PO Box 108,BRUNSWICK,Exceeding NQS
SE-00002808,Tinning Street Child Care Centre,PR-40000289,MORELAND COMMUNITY CHILD CARE CENTRES INC.,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,77 Tinning Street,,BRUNSWICK,3056,VIC,gillianb@mcccc.com.au,03 9386 5389,PO Box 108,BRUNSWICK,Exceeding NQS
SE-00002809,Park Street Child Care and Kindergarten,PR-00001734,Park Street Child Care and Kindergarten Co-operative Limited,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,785 Park Street,,BRUNSWICK,3056,VIC,parkst@parkst.org.au,393876147,785 Park Street,BRUNSWICK,Exceeding NQS
SE-00002810,Mitchell Street Child Care Centre,PR-40000289,MORELAND COMMUNITY CHILD CARE CENTRES INC.,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,98 Mitchell Street,,BRUNSWICK,3056,VIC,gillianb@mcccc.com.au,03 9383 2708,PO Box 108,BRUNSWICK,Exceeding NQS
SE-00002811,Brunswick Creche & Day Nursery,PR-00001393,Brunswick Creche & Day Nursery Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,82 Glenlyon Road,,BRUNSWICK,3056,VIC,admin@brunswickcreche.org.au,393801740,82 Glenlyon Road,BRUNSWICK,Meeting NQS
SE-00002813,Dobell Avenue Preschool,PR-00001578,Hume City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,35 Dobell Avenue,,SUNBURY,3429,VIC,corinar@hume.vic.gov.au,397442153,PO Box 119,DALLAS,Exceeding NQS
SE-00002814,St Andrews Sunbury Kindergarten,PR-40011040,UNITING (VICTORIA AND TASMANIA) LIMITED,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,2 Barkly Street,,SUNBURY,3429,VIC,standrewssunbury.els@vt.uniting.org,397441674,L 8  505 Little Collins St,MELBOURNE,Exceeding NQS
SE-00002815,Stewarts Lane Preschool,PR-00001578,Hume City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,9 Stewarts Lane,,SUNBURY,3429,VIC,corinar@hume.vic.gov.au,397443535,PO Box 119,DALLAS,Exceeding NQS
SE-00002816,Bank Street Preschool,PR-00001578,Hume City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,26 Bank Street,,CRAIGIEBURN,3064,VIC,kathyp@hume.vic.gov.au,393081129,PO Box 119,DALLAS,Meeting NQS
SE-00002817,McEwen Drive Preschool,PR-00001578,Hume City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,9 McEwen Drive,,SUNBURY,3429,VIC,corinar@hume.vic.gov.au,397444715,PO Box 119,DALLAS,Meeting NQS
