Service_Name,Type,Postcode,Suburb,email,phone,rating,address,location
Hurlingham Park Preschool,Private not for profit community managed,3187,BRIGHTON EAST,hurlingham.park.kin@kindergarten.vic.gov.au,395538491,Meeting NQS,1 Palmer Avenue BRIGHTON EAST 3187 VIC,"(-37.9118615, 145.0146921)"
St Marys Preschool,Private not for profit community managed,3187,BRIGHTON EAST,stmaryskinder@gmail.com,395927622,Exceeding NQS,Cnr Hughes and Dendy Streets BRIGHTON EAST 3187 VIC,"(-37.9218361, 145.0143421)"
Brighton Baptist Kindergarten,Private not for profit community managed,3186,BRIGHTON,brighton.baptist.kin@kindergarten.vic.gov.au,03 9592 0104,Exceeding NQS,40 Outer Crescent BRIGHTON 3186 VIC,"(-37.9054014, 144.99748)"
St Peters Kindergarten,Private not for profit community managed,3186,BRIGHTON,st.peters.kin@kindergarten.vic.gov.au,03 9592 5122,Exceeding NQS,77A Were Street BRIGHTON 3186 VIC,"(-37.9248911, 144.9967645)"
Melbourne Montessori School Brighton Campus,Independent schools,3187,BRIGHTON EAST,bmanager@mms.vic.edu.au,03 9528 4478,Exceeding NQS,741 Hawthorn Road BRIGHTON EAST 3187 VIC,"(-37.9117963, 145.0177758)"
Bambini Juniors Early Learning Centre,Private for profit,3186,BRIGHTON,megan@bambinielc.com.au,(03) 9592 1773,Exceeding NQS,73-75 Wilson Street BRIGHTON 3186 VIC,"(-37.912991, 145.001815)"
Hunt Community Child Care Centre,Private not for profit community managed,3186,BRIGHTON,director@huntchildcare.org.au,95963697,Meeting NQS,103 Cochrane Street BRIGHTON 3186 VIC,"(-37.8958936, 144.9993307)"
Brighton Early Learning Centre,Private for profit,3186,BRIGHTON,mail@brightonelc.com.au,395921373,Meeting NQS,247 New Street BRIGHTON 3186 VIC,"(-37.910777, 144.991506)"
Firbank Grammar School,Independent schools,3186,BRIGHTON,kwheeler@firbank.vic.edu.au,395915141,Exceeding NQS,24 Middle Crescent BRIGHTON 3186 VIC,"(-37.9069094, 144.9981695)"
Mt Piper Kindergarten,State/Territory and Local Government managed,3658,BROADFORD,mtpiper.kindergarten@mitchellshire.vic.gov.au,357841532,Meeting NQS,150 High Street BROADFORD 3658 VIC,"(-37.2035945, 145.0540888)"
Campbellfield Preschool,State/Territory and Local Government managed,3061,CAMPBELLFIELD,nancy-annh@hume.vic.gov.au,393596304,Meeting NQS,28 Waratah Street CAMPBELLFIELD 3061 VIC,"(-37.6754985, 144.9641869)"
Moomba Park Kindergarten,Private not for profit community managed,3060,FAWKNER,moomba.park.kin@kindergarten.vic.gov.au,393596204,Meeting NQS,65 Alec Crescent FAWKNER 3060 VIC,"(-37.6950673, 144.9683396)"
Glenroy Memorial Kindergarten,Private not for profit community managed,3046,GLENROY,glenroy.memorial.kin@kindergarten.vic.gov.au,393069767,Working Towards NQS,10 Murrell Street GLENROY 3046 VIC,"(-37.703784, 144.9204912)"
Oak Park Kindergarten,Private not for profit community managed,3046,OAK PARK,oak.park.kin@kindergarten.vic.gov.au,393066200,Exceeding NQS,1A Short Avenue OAK PARK 3046 VIC,"(-37.7160634, 144.912261)"
Taylor Drive Preschool,State/Territory and Local Government managed,3043,TULLAMARINE,nancy-annh@hume.vic.gov.au,393382009,Meeting NQS,91 Taylor Drive TULLAMARINE 3043 VIC,"(-37.68880559999999, 144.8887241)"
Westmeadows Preschool,State/Territory and Local Government managed,3049,WESTMEADOWS,nancy-annh@hume.vic.gov.au,393331696,Meeting NQS,24-26 Ardlie Street WESTMEADOWS 3049 VIC,"(-37.6749935, 144.8889942)"
Joybelle Child Care Centre,Private for profit,3060,FAWKNER,joybelleccc@hotmail.com,03 9359 1504,Meeting NQS,1346 Sydney Road FAWKNER 3060 VIC,"(-37.6951441, 144.9596563)"
Tarcoola Preschool,State/Territory and Local Government managed,3048,COOLAROO WEST,kathyp@hume.vic.gov.au,393053577,Meeting NQS,12-16 Tarcoola Avenue COOLAROO WEST 3048 VIC,"(-37.6484616, 144.9243889)"
Belle Vue Park Kindergarten,Private not for profit community managed,3046,GLENROY,belle.vue.park.kin@kindergarten.vic.gov.au,393064868,Meeting NQS,Belle Vue Park Primary School Morell Street GLENROY 3046 VIC,"(-37.7007933, 144.9426261)"
Pearl Street Child Care Centre,Private for profit,3046,GLENROY,info@pearlstreetchildcare.com.au,03 9306 8366,Meeting NQS,2 Pearl Street GLENROY 3046 VIC,"(-37.7096667, 144.9272465)"
East Brunswick Kindergarten,Private not for profit community managed,3057,EAST BRUNSWICK,east.brunswick.kin@kindergarten.vic.gov.au,394893037,Exceeding NQS,2 Noel Street EAST BRUNSWICK 3057 VIC,"(-37.7727187, 144.9803667)"
Denzil Don Free Kindergarten,Private not for profit community managed,3055,BRUNSWICK WEST,president@denzildonkinder.org.au,393808420,Exceeding NQS,256 Union Street BRUNSWICK WEST 3055 VIC,"(-37.7716001, 144.9444551)"
MCM Early Years Hub Hartnett House,Private not for profit community managed,3056,BRUNSWICK,HCC@mcm.org.au,399770020,Meeting NQS,123 Albion Street BRUNSWICK 3056 VIC,"(-37.7611093, 144.9683685)"
Dewdrops Early Learning - Moreland,Private for profit,3056,BRUNSWICK,moreland@dewdropsearlylearning.com.au,393831990,Meeting NQS,96 Moreland Road BRUNSWICK 3056 VIC,"(-37.7564448, 144.9707134)"
Dawson Street Child Care Centre,Private not for profit community managed,3056,BRUNSWICK,dsccc31@gmail.com,393808668,Exceeding NQS,31 Dawson Street BRUNSWICK 3056 VIC,"(-37.7714504, 144.9570305)"
Dunstan Reserve Child Care Centre,Private not for profit community managed,3055,BRUNSWICK WEST,gillianb@mcccc.com.au,03 9386 0432,Exceeding NQS,49 Everett Street BRUNSWICK WEST 3055 VIC,"(-37.7543467, 144.941353)"
Tinning Street Child Care Centre,Private not for profit community managed,3056,BRUNSWICK,gillianb@mcccc.com.au,03 9386 5389,Exceeding NQS,77 Tinning Street BRUNSWICK 3056 VIC,"(-37.7591675, 144.9585476)"
Park Street Child Care and Kindergarten,Private not for profit community managed,3056,BRUNSWICK,parkst@parkst.org.au,393876147,Exceeding NQS,785 Park Street BRUNSWICK 3056 VIC,"(-37.7770284, 144.9545609)"
Mitchell Street Child Care Centre,Private not for profit community managed,3056,BRUNSWICK,gillianb@mcccc.com.au,03 9383 2708,Exceeding NQS,98 Mitchell Street BRUNSWICK 3056 VIC,"(-37.7597829, 144.971832)"
Brunswick Creche & Day Nursery,Private not for profit community managed,3056,BRUNSWICK,admin@brunswickcreche.org.au,393801740,Meeting NQS,82 Glenlyon Road BRUNSWICK 3056 VIC,"(-37.772247, 144.966181)"
Dobell Avenue Preschool,State/Territory and Local Government managed,3429,SUNBURY,corinar@hume.vic.gov.au,397442153,Exceeding NQS,35 Dobell Avenue SUNBURY 3429 VIC,"(-37.577174, 144.7045868)"
St Andrews Sunbury Kindergarten,Private not for profit community managed,3429,SUNBURY,standrewssunbury.els@vt.uniting.org,397441674,Exceeding NQS,2 Barkly Street SUNBURY 3429 VIC,"(-37.5797132, 144.7336856)"
Stewarts Lane Preschool,State/Territory and Local Government managed,3429,SUNBURY,corinar@hume.vic.gov.au,397443535,Exceeding NQS,9 Stewarts Lane SUNBURY 3429 VIC,"(-37.5701703, 144.7169641)"
Bank Street Preschool,State/Territory and Local Government managed,3064,CRAIGIEBURN,kathyp@hume.vic.gov.au,393081129,Meeting NQS,26 Bank Street CRAIGIEBURN 3064 VIC,"(-37.5929879, 144.928188)"
McEwen Drive Preschool,State/Territory and Local Government managed,3429,SUNBURY,corinar@hume.vic.gov.au,397444715,Meeting NQS,9 McEwen Drive SUNBURY 3429 VIC,"(-37.565369, 144.728607)"
Mitford Crescent Preschool,State/Territory and Local Government managed,3064,CRAIGIEBURN,kathyp@hume.vic.gov.au,393082299,Meeting NQS,14 Mitford Crescent CRAIGIEBURN 3064 VIC,"(-37.606357, 144.938105)"
Learmonth Street Preschool,State/Territory and Local Government managed,3429,SUNBURY,corinar@hume.vic.gov.au,397445626,Exceeding NQS,49 Learmonth Street SUNBURY 3429 VIC,"(-37.581285, 144.6971649)"
Bradford Avenue Children's Centre,State/Territory and Local Government managed,3059,GREENVALE,nancy-annh@hume.vic.gov.au,393331488,Meeting NQS,24 Bradford Avenue GREENVALE 3059 VIC,"(-37.6401323, 144.8863917)"
Pembroke Crescent Preschool Centre,State/Territory and Local Government managed,3064,CRAIGIEBURN,kathyp@hume.vic.gov.au,393083544,Working Towards NQS,48 Pembroke Crescent CRAIGIEBURN 3064 VIC,"(-37.6037752, 144.9251533)"
Barrymore Road Children's Centre,State/Territory and Local Government managed,3059,GREENVALE,nancy-annh@hume.vic.gov.au,393333062,Meeting NQS,27 Barrymore Road GREENVALE 3059 VIC,"(-37.6505733, 144.8934256)"
Craigieburn Early Childhood Services Centre,State/Territory and Local Government managed,3064,CRAIGIEBURN,Kallyp@hume.vic.gov.au,03 9356 6150,Exceeding NQS,153 Craigieburn Road CRAIGIEBURN 3064 VIC,"(-37.5987087, 144.9336388)"
Sunningdale Children's Centre,State/Territory and Local Government managed,3429,SUNBURY,vanessas@hume.vic.gov.au,397442845,Meeting NQS,13A Dornoch Drive SUNBURY 3429 VIC,"(-37.579028, 144.7492805)"
Roxburgh Park Community House & Children's Centre,Private not for profit community managed,3064,ROXBURGH PARK,roxburghpark.els@vt.uniting.org,393053550,Meeting NQS,2-4 Perry Court ROXBURGH PARK 3064 VIC,"(-37.63818699999999, 144.925397)"
Attwood Child Care Centre and Kindergarten,Private not for profit community managed,3049,ATTWOOD,accck@alphalink.com.au,03 9333 1211,Meeting NQS,475-485 Mickleham Road ATTWOOD 3049 VIC,"(-37.6637064, 144.8831326)"
Oak Street Kindergarten,Private not for profit community managed,3818,DROUIN,oak.st.kin@kindergarten.vic.gov.au,356251520,Exceeding NQS,6 Oak Street DROUIN 3818 VIC,"(-38.1378447, 145.8555823)"
Longwarry Kindergarten,Private not for profit community managed,3816,LONGWARRY,longwarry.kin@kindergarten.vic.gov.au,03 56299357,Exceeding NQS,4 Ford Place LONGWARRY 3816 VIC,"(-38.1105461, 145.7693724)"
Buninyong Preschool,Private not for profit community managed,3357,BUNINYONG,Buninyong.els@vt.uniting.org,353413415,Exceeding NQS,208 Learmonth Street BUNINYONG 3357 VIC,"(-37.6505824, 143.8879594)"
Mt Clear Community Kindergarten,Private not for profit community managed,3350,MOUNT CLEAR,mt.clear.community.kin@kindergarten.vic.gov.au,03 5330 1447,Meeting NQS,2 Dallas Avenue MOUNT CLEAR 3350 VIC,"(-37.6075079, 143.8683051)"
Estrella Preschool,Private not for profit community managed,3147,ASHBURTON,director@estrella.vic.edu.au,398855398,Meeting NQS,32 Chamberlain Street ASHBURTON 3147 VIC,"(-37.8700301, 145.073604)"
Balwyn East Kindergarten,Private not for profit community managed,3103,BALWYN,balwyn.east.kin@kindergarten.vic.gov.au,03 9857 8710,Meeting NQS,Belmore Road BALWYN 3103 VIC,"(-37.803378, 145.0823223)"
Yongala Kindergarten,Private not for profit community managed,3103,BALWYN,pauline.yongala.kin@kindergarten.vic.gov.au,398174939,Exceeding NQS,25 Nott Street BALWYN 3103 VIC,"(-37.8060464, 145.0773101)"
Bellevue Kindergarten,Private not for profit community managed,3104,BALWYN NORTH,bellevue.kin@kindergarten.vic.gov.au,398596000,Meeting NQS,49 Bulleen Road BALWYN NORTH 3104 VIC,"(-37.78809, 145.07409)"
Boroondara Preschool,Private not for profit community managed,3104,BALWYN NORTH,boroondara.balwyn.north.kin@kindergarten.vic.gov.au,03 9857 6159,Exceeding NQS,24 Midvale Avenue BALWYN NORTH 3104 VIC,"(-37.7864022, 145.0872229)"
The Merrell Kindergarten,Private not for profit community managed,3104,BALWYN NORTH,merrell@ecms.org.au,398591259,Exceeding NQS,92 Maud Street BALWYN NORTH 3104 VIC,"(-37.7960184, 145.0756767)"
Rowen Street Kindergarten,Private not for profit community managed,3146,GLEN IRIS,rowen.st.kin@kindergarten.vic.gov.au,03 9889 7996,Exceeding NQS,27 Rowen Street GLEN IRIS 3146 VIC,"(-37.8578882, 145.0882801)"
Alfred Road Kindergarten,Private not for profit community managed,3146,GLEN IRIS,alfred.road.kin@kindergarten.vic.gov.au,398894038,Exceeding NQS,48A Alfred Road GLEN IRIS 3146 VIC,"(-37.854456, 145.088763)"
Summerhill Park Kindergarten,Private not for profit community managed,3146,GLEN IRIS,summerhill.park.kin@kindergarten.vic.gov.au,398891543,Exceeding NQS,46 Audrey Crescent GLEN IRIS 3146 VIC,"(-37.8582364, 145.0813796)"
Fordham Avenue Kindergarten,Private not for profit community managed,3124,CAMBERWELL,fordham.ave.kin@kindergarten.vic.gov.au,398369341,Exceeding NQS,24 Fordham Avenue CAMBERWELL 3124 VIC,"(-37.8364133, 145.0729312)"
St Dunstan's Kindergarten,Private not for profit community managed,3124,CAMBERWELL,st.dunstans.kin@kindergarten.vic.gov.au,398091673,Exceeding NQS,163B Wattle Valley Road CAMBERWELL 3124 VIC,"(-37.8423013, 145.0795325)"
Canterbury Norwood Baptist Kindergarten,Private not for profit community managed,3126,CANTERBURY,karen@canterburynorwood.com.au,03 9836 0305,Exceeding NQS,2 Boronia Street CANTERBURY 3126 VIC,"(-37.8231087, 145.0784985)"
St Pauls Anglican Kindergarten,Private not for profit community managed,3126,CANTERBURY,st.pauls.anglican.kin@kindergarten.vic.gov.au,03 9830 1117,Exceeding NQS,Church Street CANTERBURY 3126 VIC,"(-37.8273458, 145.0849843)"
Deepdene Preschool,Private not for profit community managed,3103,DEEPDENE,deepdene.kin@kindergarten.vic.gov.au,03 9817 4775,Meeting NQS,7 Terry Street DEEPDENE 3103 VIC,"(-37.8103348, 145.0691379)"
Canterbury & District Preschool,Private not for profit community managed,3127,SURREY HILLS,canterbury.kin@kindergarten.vic.gov.au,388407949,Exceeding NQS,26 Guilford Road SURREY HILLS 3127 VIC,"(-37.8219695, 145.0893341)"
Surrey Hills Preschool Centre,Private not for profit community managed,3127,SURREY HILLS,dianne.goodall@surreyhillspreschool.com.au,03 9836 4902,Meeting NQS,18 Verdun Street SURREY HILLS 3127 VIC,"(-37.8335084, 145.0937278)"
Cgs Pre-preparatory Centre,Independent schools,3126,CANTERBURY,businessmanager@cgs.vic.edu.au,398351777,Meeting NQS,55 Mont Albert Road CANTERBURY 3126 VIC,"(-37.8163683, 145.0665671)"
Highgate Early Learning Centre,Private not for profit community managed,3147,ASHBURTON,director@highgatecentre.org.au,398853098,Exceeding NQS,3 Highgate Grove ASHBURTON 3147 VIC,"(-37.8639385, 145.0777997)"
Canterbury Child Care Centre,Private for profit,3126,CANTERBURY,info@canterburychildcare.com.au,398369861,Meeting NQS,15 Gwenda Avenue CANTERBURY 3126 VIC,"(-37.821083, 145.070086)"
Through Road Child Care Centre,Private not for profit community managed,3124,CAMBERWELL,manager@throughroad.org.au,398304643,Exceeding NQS,171 Through Road CAMBERWELL 3124 VIC,"(-37.8363589, 145.0934921)"
Papilio Early Learning Ashburton,Private for profit,3147,ASHBURTON,compliance@affinityeducation.com.au,398852380,Meeting NQS,21 Vears Road ASHBURTON 3147 VIC,"(-37.8617173, 145.0885801)"
Camberwell Kindergarten and Child Care Centre,Private not for profit community managed,3124,CAMBERWELL,admin@ckcc.asn.au,398828848,Meeting NQS,25 Trafalgar Road CAMBERWELL 3124 VIC,"(-37.833, 145.063729)"
Minifie Park Early Childhood Centre,Private not for profit other organisations,3103,BALWYN,mxp@goodstart.org.au,398578376,Working Towards NQS,290 Belmore Road BALWYN 3103 VIC,"(-37.8044157, 145.0962498)"
Baranbali Camperdown Kindergarten,Private not for profit community managed,3260,CAMPERDOWN,baranbali.kin@kindergarten.vic.gov.au,355931936,Exceeding NQS,Campbell Street CAMPERDOWN 3260 VIC,"(-38.2359866, 143.1474863)"
Castlemaine Kindergarten,Private not for profit community managed,3450,CASTLEMAINE,castlemaine.kin@kindergarten.vic.gov.au,354721495,Exceeding NQS,7-9 Berkley Street CASTLEMAINE 3450 VIC,"(-37.0593728, 144.216335)"
South Castlemaine Kindergarten,Private not for profit community managed,3450,CASTLEMAINE,south.castlemaine.kin@kindergarten.vic.gov.au,343111583,Exceeding NQS,9 Etty Street CASTLEMAINE 3450 VIC,"(-37.0768664, 144.2085849)"
Castlemaine Child Care Centre,Private not for profit community managed,3450,CASTLEMAINE,carinya@castlemainechildcare.com.au,354706284,Exceeding NQS,15-17 Templeton Street CASTLEMAINE 3450 VIC,"(-37.0628896, 144.2156174)"
Fink Karp Ivany Early Learning Centre,Independent schools,3162,CAULFIELD SOUTH,supiter@scopus.vic.edu.au,385544700,Exceeding NQS,1 Feodore Street CAULFIELD SOUTH 3162 VIC,"(-37.8996036, 145.0338135)"
Sholem Aleichem Preschool Education Centre,Independent schools,3185,ELSTERNWICK,cisraelsohn@sholem.vic.edu.au,03 8527 3000,Exceeding NQS,51 Elisabeth Street ELSTERNWICK 3185 VIC,"(-37.8822231, 145.0013321)"
Ormond Community Kindergarten,Private not for profit community managed,3204,ORMOND,ormond.community.kin@kindergarten.vic.gov.au,03 9578 2605,Exceeding NQS,1A Oakleigh Road ORMOND 3204 VIC,"(-37.8977933, 145.0444679)"
Ripponlea Kindergarten,Private not for profit community managed,3183,ST KILDA EAST,kinder@ripponleakinder.org.au,395274343,Exceeding NQS,25 Carrington Grove ST KILDA EAST 3183 VIC,"(-37.8746105, 145.004764)"
GEKA Murrumbeena Kindergarten,Private not for profit community managed,3163,MURRUMBEENA,murrumbeena.kin@kindergarten.vic.gov.au,395699405,Meeting NQS,1A Blythe Street MURRUMBEENA 3163 VIC,"(-37.9025161, 145.074615)"
Adass Israel Preschool,Private not for profit community managed,3185,ELSTERNWICK,astrasser@adass.vic.edu.au,395236422,Exceeding NQS,10-12 King Street ELSTERNWICK 3185 VIC,"(-37.8837582, 145.0087798)"
Shelford Child Care & Early Learning Centre,Independent schools,3162,CAULFIELD,pmaskell@shelford.vic.edu.au,395247420,Exceeding NQS,1 Hood Crescent CAULFIELD 3162 VIC,"(-37.8773453, 145.0113858)"
Abeles Liberman Preschool,Private for profit,3162,CAULFIELD SOUTH,c.orwin@yavneh.vic.edu.au,383172510,Exceeding NQS,81 Balaclava Road CAULFIELD SOUTH 3162 VIC,"(-37.871372, 145.011749)"
Murrumbeena Early Learning Centre,State/Territory and Local Government managed,3163,MURRUMBEENA,mail@gleneira.vic.gov.au,03 9568 0163,Exceeding NQS,105-107 Murrumbeena Road MURRUMBEENA 3163 VIC,"(-37.8914041, 145.0659912)"
Caulfield Early Learning Centre,State/Territory and Local Government managed,3162,CAULFIELD,mail@gleneira.vic.gov.au,03 9524 3294,Exceeding NQS,6 Lirrewa Grove CAULFIELD 3162 VIC,"(-37.8810638, 145.0225009)"
Carnegie Early Learning Centre,State/Territory and Local Government managed,3163,CARNEGIE,lcramp@gleneira.vic.gov.au,395725128,Exceeding NQS,17 Truganini Road CARNEGIE 3163 VIC,"(-37.8877666, 145.054997)"
Gilly's Early Learning Centre,Private for profit,3183,BALACLAVA,gilly613@hotmail.com,03 9525 9150,Exceeding NQS,61 Balaclava Road BALACLAVA 3183 VIC,"(-37.8708744, 145.0078748)"
Chaya's Creche,Private for profit,3185,ELSTERNWICK,admin@chayascreche.com.au,03 9523 0706,Exceeding NQS,278 Glen Eira Road ELSTERNWICK 3185 VIC,"(-37.8784909, 145.0088218)"
Szalmuk Family Early Learning Centre,Independent schools,3183,ST KILDA EAST,supiter@scopus.vic.edu.au,399004648,Exceeding NQS,15 Mayfield Avenue ST KILDA EAST 3183 VIC,"(-37.8743593, 145.0013475)"
Roseberry House Early Learning Centre,Private for profit,3163,GLEN HUNTLY,mshelton@evolveedu.com.au,395723677,Meeting NQS,2A-4 Roseberry Grove GLEN HUNTLY 3163 VIC,"(-37.8885137, 145.0397402)"
Shelford Early Discovery Centre,Independent schools,3162,CAULFIELD,pmaskell@shelford.vic.edu.au,395247420,Exceeding NQS,3 Hood Crescent CAULFIELD 3162 VIC,"(-37.8778934, 145.0111463)"
Charlton & District Kindergarten,Private not for profit community managed,3525,CHARLTON,charlton.kin@kindergarten.vic.gov.au,354911775,Exceeding NQS,1 Armstrong Street CHARLTON 3525 VIC,"(-36.269661, 143.349907)"
